,region,probability
0,Республика Татарстан,0.00015962538509944432
1,Чукотский автономный округ,0.0002187400572701241
2,Краснодарский край,0.00023011342512732885
3,Республика Башкортостан,0.0002917176697949136
4,Тюменская область,0.00029229055704510753
5,Кемеровская область,0.0003495301096297991
6,Республика Дагестан,0.0003561718342656592
7,Новосибирская область,0.00036845509743868316
8,Республика Тыва,0.0004703970578802198
9,Ненецкий автономный округ,0.00047607172814037314
10,Чеченская Республика,0.0004929919403594716
11,Республика Марий Эл,0.0005166193957466475
12,Республика Чувашия,0.0005821887999684682
13,Челябинская область ,0.0006061097361533062
14,Ставропольский край,0.0006095792761593867
15,Алтайский край,0.0006270626065693547
16,Оренбургская область,0.0006392976413443136
17,Свердловская область,0.0006437497926661704
18,Ростовская область,0.0006517667142072041
19,Самарская область,0.0006522972563257737
20,Еврейская автономная область,0.0006632765863365023
21,Тюменская область,0.000714185360370908
22,Волгоградская область,0.000733831225241225
23,Саратовская область,0.0007638646596982941
24,Республика Мордовия,0.0007681628758398222
25,Иркутская область,0.00077701799896537
26,Красноярский край,0.000780460915026751
27,Кабардино-Балкарская Республика,0.0008026717337479127
28,Ленинградская область,0.0008150875965950769
29,Пермский край,0.0008336988219724076
30,Костромская область,0.0008399314792740593
31,Рязанская область,0.0008450219011279284
32,Республика Северная Осетия — Алания,0.0008481179960306356
33,Белгородская область,0.0008540161675653309
34,Приморский край,0.0008602919612546865
35,Владимирская область,0.0008841179726976125
36,Ханты-Мансийский АО,0.0008927099928583201
37,Курганская область,0.0009067103821965603
38,Республика Крым,0.0009134057853564374
39,Республика Ингушетия,0.0009229658759005326
40,Омская область,0.0009275094528628485
41,Тульская область,0.0009705844036703505
42,Томская область,0.0009839975316672086
43,Республика Саха (Якутия),0.000990744817879909
44,Удмуртская Республика,0.0010040274358658321
45,Нижегородская область,0.0010121931496815744
46,Липецкая область,0.0010242493445945175
47,Ярославская область,0.001061123083097107
48,Пензенская область,0.0010738662171032728
49,Курская область,0.0011014412939036673
50,Республика Бурятия,0.0011065615754353472
51,Тамбовская область,0.0011114996006945134
52,Амурская область,0.001159429095088375
53,Калужская область,0.0011659975562925467
54,Брянская область,0.0011740130533479918
55,Воронежская область,0.0011741649295135327
56,Республика Адыгея,0.0011876792315931313
57,Смоленская область,0.0011905156654961177
58,Астраханская область,0.0011990669946370088
59,Московская область,0.0012192389852738242
60,Тверская область,0.0012718396609273878
61,Республика Хакасия,0.0012896294327502237
62,Кировская область,0.0012927736172788065
63,Карачаево-Черкесская Республика,0.0012931552989293878
64,Ивановская область,0.0012987208351928274
65,Севастополь,0.001362610155453335
66,Республика Алтай,0.001376140538920252
67,Калининградская область,0.00146072342846307
68,Ульяновская область,0.0014896440466278102
69,Забайкальский край,0.00157403038595829
70,Орловская область,0.0016523562436434728
71,Камчатский край,0.001670841107163851
72,Архангельская область,0.0016787868389446872
73,Магаданская область,0.0017267336905721767
74,Хабаровский край,0.0017489546936364955
75,Вологодская область,0.0018966861850410834
76,Сахалинская область,0.0020542460220744404
77,Республика Коми,0.002074413173864344
78,Новгородская область,0.0023369342909064085
79,Мурманская область,0.0023388058332569016
80,Республика Калмыкия,0.0024415881387500693
81,Москва,0.002654660852010782
82,Псковская область,0.0027486963257548533
83,Республика Карелия,0.003610372860157899
84,Санкт-Петербург,0.004608689337510633
